Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
10:46:37,2022-10-07,7401327478,4336451277,2603.3,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
10:50:42,2022-10-07,3758118046,2487128589,2564.96,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
11:17:19,2022-10-07,852237169,5748489103,11278.46,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
11:19:32,2022-10-07,6340007440,4316483340,106.04,UK pounds,Indian rupee,UK,India,Cash Withdrawal,1,Cash_Withdrawal
11:21:24,2022-10-07,7002077089,3758118046,778.19,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
11:35:42,2022-10-07,3758118046,6081504025,5903.33,UK pounds,Mexican Peso,UK,Mexico,Cross-border,1,Behavioural_Change_2
11:45:53,2022-10-07,445154846,4497771501,3957.87,UK pounds,Naira,UK,Nigeria,Cross-border,1,Structuring
12:39:03,2022-10-07,2758469152,2987279234,7832.41,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
12:43:55,2022-10-07,4316483340,3488425844,6282.38,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
12:46:14,2022-10-07,5748489103,5971760311,3252.35,UK pounds,US dollar,UK,USA,Cross-border,1,Behavioural_Change_1
13:05:00,2022-10-07,4928880336,1082642344,10753.26726981541,Yen,UK pounds,Japan,UK,Cross-border,1,Layered_Fan_In
13:21:01,2022-10-07,8501920513,813395681,7500.77,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
13:30:06,2022-10-07,4624222122,8683543845,13837.82,UK pounds,UK pounds,UK,UK,Credit card,1,Layered_Fan_Out
13:33:59,2022-10-07,5262095561,927895922,4194.02,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
13:50:25,2022-10-07,2369776263,988008298,10511.87,UK pounds,UK pounds,UK,UK,Debit card,1,Scatter-Gather
13:53:17,2022-10-07,8501920513,9722096196,6112.62,UK pounds,Naira,UK,Nigeria,Cross-border,1,Behavioural_Change_2
14:26:39,2022-10-07,3758118046,4854710545,6051.71,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
14:32:30,2022-10-07,7877406257,6644790956,4196.36,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
14:44:33,2022-10-07,6644790956,6809308219,15333.65,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
15:39:25,2022-10-07,6219666393,3919105611,5507.45,UK pounds,UK pounds,UK,UK,Cheque,1,Layered_Fan_In
16:08:33,2022-10-07,3758118046,377669591,2434.36,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
16:09:07,2022-10-07,8501920513,1248210667,3464.95,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
17:06:25,2022-10-07,2636833970,5748489103,437.61,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
17:12:58,2022-10-07,5535491870,1681811645,10150.12,UK pounds,Indian rupee,UK,Turkey,Cross-border,1,Layered_Fan_In
17:13:16,2022-10-07,7147448786,5557620276,114.2,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
17:25:38,2022-10-07,987302110,3546293157,7918.52,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring
17:28:59,2022-10-07,3768903148,8501920513,5797.75,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
18:02:58,2022-10-07,8212001718,4675771219,25347.84520111184,UK pounds,UK pounds,UK,UK,Credit card,1,Cycle
18:45:09,2022-10-07,5748489103,6137865155,8925.11,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
19:29:11,2022-10-07,2482785525,136127554,12579.1,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
19:54:57,2022-10-07,1587046893,9021009219,9146.27,US dollar,UK pounds,UK,UK,Credit card,1,Fan_In
19:59:14,2022-10-07,2487128589,3758118046,1235.27,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
20:08:34,2022-10-07,3546293157,8122881158,104.08,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
20:11:10,2022-10-07,976070224,7951108994,7872.17,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring
20:17:37,2022-10-07,5748489103,7558295549,13522.01,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
20:29:12,2022-10-07,2482785525,2327949023,7481.83,Albanian lek,UK pounds,UK,UK,Credit card,1,Structuring
20:48:15,2022-10-07,6219666393,8567155441,945.92,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
21:08:01,2022-10-07,4624222122,4900827431,3754.95,Dirham,UK pounds,UK,UK,Credit card,1,Layered_Fan_Out
21:28:05,2022-10-07,9021009219,6906774124,627.67,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
22:38:23,2022-10-07,7147448786,5557620276,204.49,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
22:51:21,2022-10-07,466498973,9021009219,9954.48,UK pounds,UK pounds,UK,UK,Debit card,1,Fan_In
23:18:53,2022-10-07,5535491870,4341955233,67.1,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
23:44:42,2022-10-07,8501920513,9023752117,11888.71,UK pounds,Euro,UK,Italy,Cross-border,0,Normal_Group
23:55:30,2022-10-07,2369776263,5200980965,2656.27,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
01:10:34,2022-10-08,7147448786,5557620276,97.93,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
03:11:33,2022-10-08,9021009219,6906774124,438.75,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
04:12:56,2022-10-08,8093648634,2987279234,7961.54,Albanian lek,UK pounds,Albania,UK,Cross-border,1,Structuring
04:47:02,2022-10-08,8501920513,3088684435,529.98,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
06:51:19,2022-10-08,6340007440,4316483340,331.41,UK pounds,Indian rupee,UK,India,Cash Withdrawal,1,Cash_Withdrawal
07:04:35,2022-10-08,4501271268,4497771501,3966.93,UK pounds,Naira,UK,Nigeria,Cross-border,1,Structuring
08:10:47,2022-10-08,3919105611,3810784684,1396.8,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
08:18:11,2022-10-08,927895922,9822658591,1038.88,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
